path,folder,split
CULS/plot_1_annotated.las,CULS,train
CULS/plot_2_annotated.las,CULS,test
CULS/plot_3_annotated.las,CULS,train
NIBIO/plot_1_annotated.las,NIBIO,test
NIBIO/plot_10_annotated.las,NIBIO,train
NIBIO/plot_11_annotated.las,NIBIO,train
NIBIO/plot_12_annotated.las,NIBIO,train
NIBIO/plot_13_annotated.las,NIBIO,train
NIBIO/plot_16_annotated.las,NIBIO,train
NIBIO/plot_17_annotated.las,NIBIO,test
NIBIO/plot_18_annotated.las,NIBIO,test
NIBIO/plot_19_annotated.las,NIBIO,train
NIBIO/plot_2_annotated.las,NIBIO,train
NIBIO/plot_21_annotated.las,NIBIO,train
NIBIO/plot_22_annotated.las,NIBIO,test
NIBIO/plot_23_annotated.las,NIBIO,test
NIBIO/plot_3_annotated.las,NIBIO,train
NIBIO/plot_4_annotated.las,NIBIO,train
NIBIO/plot_5_annotated.las,NIBIO,test
NIBIO/plot_6_annotated.las,NIBIO,train
NIBIO/plot_7_annotated.las,NIBIO,train
NIBIO/plot_8_annotated.las,NIBIO,train
NIBIO/plot_9_annotated.las,NIBIO,train
NIBIO2/plot1_annotated.las,NIBIO2,test
NIBIO2/plot10_annotated.las,NIBIO2,test
NIBIO2/plot12_annotated.las,NIBIO2,train
NIBIO2/plot13_annotated.las,NIBIO2,train
NIBIO2/plot14_annotated.las,NIBIO2,train
NIBIO2/plot15_annotated.las,NIBIO2,test
NIBIO2/plot16_annotated.las,NIBIO2,train
NIBIO2/plot2_annotated.las,NIBIO2,train
NIBIO2/plot20_annotated.las,NIBIO2,train
NIBIO2/plot21_annotated.las,NIBIO2,train
NIBIO2/plot22_annotated.las,NIBIO2,train
NIBIO2/plot23_annotated.las,NIBIO2,train
NIBIO2/plot24_annotated.las,NIBIO2,train
NIBIO2/plot25_annotated.las,NIBIO2,train
NIBIO2/plot26_annotated.las,NIBIO2,train
NIBIO2/plot27_annotated.las,NIBIO2,test
NIBIO2/plot28_annotated.las,NIBIO2,train
NIBIO2/plot3_annotated.las,NIBIO2,test
NIBIO2/plot31_annotated.las,NIBIO2,train
NIBIO2/plot32_annotated.las,NIBIO2,test
NIBIO2/plot33_annotated.las,NIBIO2,train
NIBIO2/plot34_annotated.las,NIBIO2,test
NIBIO2/plot35_annotated.las,NIBIO2,test
NIBIO2/plot38_annotated.las,NIBIO2,train
NIBIO2/plot39_annotated.las,NIBIO2,train
NIBIO2/plot40_annotated.las,NIBIO2,train
NIBIO2/plot41_annotated.las,NIBIO2,train
NIBIO2/plot42_annotated.las,NIBIO2,train
NIBIO2/plot43_annotated.las,NIBIO2,train
NIBIO2/plot44_annotated.las,NIBIO2,train
NIBIO2/plot45_annotated.las,NIBIO2,train
NIBIO2/plot46_annotated.las,NIBIO2,train
NIBIO2/plot47_annotated.las,NIBIO2,train
NIBIO2/plot48_annotated.las,NIBIO2,test
NIBIO2/plot49_annotated.las,NIBIO2,test
NIBIO2/plot50_annotated.las,NIBIO2,train
NIBIO2/plot51_annotated.las,NIBIO2,train
NIBIO2/plot52_annotated.las,NIBIO2,test
NIBIO2/plot53_annotated.las,NIBIO2,test
NIBIO2/plot54_annotated.las,NIBIO2,train
NIBIO2/plot55_annotated.las,NIBIO2,train
NIBIO2/plot56_annotated.las,NIBIO2,train
NIBIO2/plot57_annotated.las,NIBIO2,train
NIBIO2/plot58_annotated.las,NIBIO2,test
NIBIO2/plot59_annotated.las,NIBIO2,train
NIBIO2/plot6_annotated.las,NIBIO2,test
NIBIO2/plot60_annotated.las,NIBIO2,test
NIBIO2/plot61_annotated.las,NIBIO2,train
NIBIO2/plot8_annotated.las,NIBIO2,train
NIBIO2/plot9_annotated.las,NIBIO2,train
RMIT/test.las,RMIT,test
RMIT/train.las,RMIT,train
SCION/plot_31_annotated.las,SCION,test
SCION/plot_35_annotated.las,SCION,train
SCION/plot_39_annotated.las,SCION,train
SCION/plot_61_annotated.las,SCION,test
SCION/plot_87_annotated.las,SCION,train
TUWIEN/test.las,TUWIEN,test
TUWIEN/train.las,TUWIEN,train
